site_id,slug,name_ar,name_en,governorate_ar,locality_ar,site_type_ar,page_category,page_adoption_status,accepted_editorial_record_count,adoptable_source_count,adoptable_source_ids,held_claim_count,coordinate_status,direct_map_use,approved_media_asset_count,media_status,development_status,last_development_update,publication_status,database_import_status
site-4aeec5656d1d,lmsjd-l-qs-lmbrk-lhrm-lqdsy-lshryf-4aeec5,المسجد الأقصى المبارك / الحرم القدسي الشريف,Al-Aqsa Mosque / Al-Haram al-Sharif,القدس,القدس القديمة,مسجد/حرم,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,AUTH-UNESCO-JERUSALEM-DECISION-001,1,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f9df0c7e708c,bld-slwn-f9df0c,بلدة سلوان,,القدس,سلوان,بلدة قديمة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-UNESCO-JERUSALEM-EXTENSION-001; W2-AUTH-UNESCO-JERUSALEM-MONITOR-2015,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f9067873c322,hy-t-lbrq-f90678,حائط البراق,Al-Buraq Wall,القدس,القدس القديمة,جدار تاريخي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-UNESCO-JERUSALEM-001; W2-AUTH-UNISPAL-WESTERN-WALL-1930,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-9b42bff63df0,khn-ljwbr-9b42bf,خان الجوابرة,,القدس,القدس القديمة,خان,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-4bbdf07d8d66,swq-lqtnyn-4bbdf0,سوق القطانين,,القدس,القدس القديمة,سوق,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-ARCHNET-QATTANIN-001,1,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-8d297f3c37a9,qbr-lsyd-mrym-mgr-ljsmny-8d297f,قبر السيدة مريم (مغارة الجسمانية),,القدس,القدس القديمة,كنيسة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-JERUSALEM-PATRIARCHATE-GETHSEMANE-001; W2-AUTH-SBF-JERUSALEM-EXCAVATIONS-001,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f7553f79288f,qswr-lmmlyk-shr-lwd-f7553f,قصور المماليك (شارع الواد),,القدس,القدس القديمة,عنقود معماري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,2,W2-AUTH-ARCHNET-QATTANIN-001; W2-AUTH-UNESCO-JERUSALEM-MONITOR-2015,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-83d3025c4675,ql-lqds-brj-dwd-83d302,قلعة القدس (برج داود),Jerusalem Citadel,القدس,القدس القديمة,حصن/قلعة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-ARCHNET-CITADEL-001,1,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-431ed266867b,knys-lqym-431ed2,كنيسة القيامة,Church of the Holy Sepulchre,القدس,القدس القديمة,كنيسة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-SBF-JERUSALEM-EXCAVATIONS-001; W2-AUTH-UNESCO-JERUSALEM-001,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-3a3d3669f0ba,mqm-lnby-dwwd-jbl-shywn-3a3d36,مقام النبي داوود (جبل صهيون),,القدس,القدس القديمة,مقام/مقام إسلامي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-UNESCO-JERUSALEM-EXTENSION-001; W2-AUTH-UNESCO-JERUSALEM-MONITOR-2015,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
