asset_id,canonical_site_id,canonical_slug,name_ar,slot,local_filename,sha256,mime_type,file_size_bytes,creator,copyright_holder,source_url,creation_or_capture_date,licence,permission_evidence_file,attribution_text_ar,allowed_use,territory,expiry_date,people_consent,private_property_consent,sensitive_location_review,derivative_edits,review_status,reviewer,review_date,rejection_or_hold_reason
,site-4aeec5656d1d,lmsjd-l-qs-lmbrk-lhrm-lqdsy-lshryf-4aeec5,المسجد الأقصى المبارك / الحرم القدسي الشريف,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-4aeec5656d1d,lmsjd-l-qs-lmbrk-lhrm-lqdsy-lshryf-4aeec5,المسجد الأقصى المبارك / الحرم القدسي الشريف,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-4aeec5656d1d,lmsjd-l-qs-lmbrk-lhrm-lqdsy-lshryf-4aeec5,المسجد الأقصى المبارك / الحرم القدسي الشريف,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-4aeec5656d1d,lmsjd-l-qs-lmbrk-lhrm-lqdsy-lshryf-4aeec5,المسجد الأقصى المبارك / الحرم القدسي الشريف,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9df0c7e708c,bld-slwn-f9df0c,بلدة سلوان,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9df0c7e708c,bld-slwn-f9df0c,بلدة سلوان,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9df0c7e708c,bld-slwn-f9df0c,بلدة سلوان,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9df0c7e708c,bld-slwn-f9df0c,بلدة سلوان,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9067873c322,hy-t-lbrq-f90678,حائط البراق,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9067873c322,hy-t-lbrq-f90678,حائط البراق,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9067873c322,hy-t-lbrq-f90678,حائط البراق,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-f9067873c322,hy-t-lbrq-f90678,حائط البراق,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-9b42bff63df0,khn-ljwbr-9b42bf,خان الجوابرة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-9b42bff63df0,khn-ljwbr-9b42bf,خان الجوابرة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
